seed,T,k,avg_price,avg_profit,share_state_0.5_0.5,share_joint_consecutive_0.5,mode_pair,share_mode_pair,std_market,cycle_amp,jump_count_large,regime
1,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
2,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
3,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
4,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
5,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
6,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
7,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
8,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
9,500000,6,0.45833333333333326,0.09375,0.0,0.0,"(np.float64(0.333333), np.float64(0.5))",0.25,0.15023130314433286,0.41666666666666663,24999,cycling/asymmetric
10,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
11,500000,6,0.3333533333333333,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",0.99994,0.002788795040474968,0.49999999999999994,2,focal_equal_price
12,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
13,500000,6,0.5,0.09375,0.0,0.0,"(np.float64(0.166667), np.float64(0.333333))",0.25,0.18633899812498247,0.5,25000,cycling/asymmetric
14,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
15,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
16,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
17,500000,6,0.4166666666666666,0.09375,0.0,0.0,"(np.float64(0.666667), np.float64(0.166667))",0.25,0.11785113019775788,0.33333333333333326,0,cycling/asymmetric
18,500000,6,0.5,0.09375,0.0,0.0,"(np.float64(0.5), np.float64(1.0))",0.25,0.18633899812498247,0.5,25000,cycling/asymmetric
19,500000,6,0.5,0.09375,0.0,0.0,"(np.float64(0.333333), np.float64(0.5))",0.25,0.18633899812498247,0.5,24999,cycling/asymmetric
20,500000,6,0.4166666666666666,0.09375,0.0,0.0,"(np.float64(0.166667), np.float64(0.333333))",0.25,0.11785113019775788,0.33333333333333326,0,cycling/asymmetric
21,500000,6,0.45833333333333326,0.09375,0.0,0.0,"(np.float64(0.833333), np.float64(0.166667))",0.25,0.15023130314433286,0.41666666666666663,24999,cycling/asymmetric
22,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
23,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
24,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
25,500000,6,0.4166666666666666,0.09375,0.0,0.0,"(np.float64(0.5), np.float64(0.666667))",0.25,0.11785113019775788,0.33333333333333326,0,cycling/asymmetric
26,500000,6,0.45833333333333326,0.0937472222222222,0.0,0.0,"(np.float64(0.333333), np.float64(0.5))",0.25,0.1502368500438927,0.5833333333333334,25001,cycling/asymmetric
27,500000,6,0.5,0.125,1.0,1.0,"(np.float64(0.5), np.float64(0.5))",1.0,0.0,0.0,0,monopoly_regime
28,500000,6,0.33333333333333326,0.11111111111111113,0.0,0.0,"(np.float64(0.333333), np.float64(0.333333))",1.0,5.551115123125783e-17,0.0,0,focal_equal_price
29,500000,6,0.16670333333333331,0.0694436111111111,0.0,0.0,"(np.float64(0.166667), np.float64(0.166667))",0.99982,0.0036512996164227455,0.5833333333333333,4,focal_equal_price
30,500000,6,0.4166666666666666,0.09375,0.0,0.0,"(np.float64(0.166667), np.float64(0.333333))",0.25,0.11785113019775788,0.33333333333333326,0,cycling/asymmetric
